city,positionName,salaryMax,keyword,companySize,companyName,positionType,positionAdvantage,salaryMin,companyLabelList,formatCreatetime
徐州,Java工程师（徐州）,7,java,500-2000人,金智教育,后端开发,非外包，非外包，非外包！leader 牛B又nice,4,"技能培训,节日礼物,岗位晋升,五险一金",3天前发布
无锡,JAVA（无锡）,12,java,2000人以上,安硕信息（amarsoft）,后端开发,"顶尖团队,福利优厚,前沿技术,专业培训",6,"岗位晋升,顶尖团队,福利优厚,股票期权",2016-05-23
苏州,JAVA【苏州】,12,java,2000人以上,安硕信息（amarsoft）,后端开发,带你领略代码的另一个世界,6,"岗位晋升,顶尖团队,福利优厚,股票期权",2016-05-23
苏州市,Java开发工程师（苏州）,12,java,150-500人,大易云计算,后端开发,双休 带薪年假 话补 节日福利 专业培训,8,"绩效奖金,专项奖金,通讯津贴,五险一金",2天前发布
宁波,Java,12,java,2000人以上,上海华腾软件系统有限公司,后端开发,五险一金，年终奖，免费培训，包吃住,7,,2016-05-24
佛山,Java（佛山）,15,java,50-150人,广州卓为,后端开发,金融行业，五险一金，定期旅游，年终丰厚,9,"带薪年假,绩效奖金,帅哥多,美女多",2天前发布
昆明,Java工程师,10,java,150-500人,九休旅行,后端开发,上升空间大，公司氛围好；,6,"技能培训,年底双薪,带薪年假,岗位晋升",2016-05-03
青岛,Java,10,java,2000人以上,博彦科技,后端开发,优秀平台，五险一金，技术提升,6,"技能培训,节日礼物,免费班车,带薪年假",2016-05-19
上海,Java开发工程师,20,java,500-2000人,泛微,后端开发,一日四餐 绩效奖金 年中奖 领导nice,12,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
上海,Java开发工程师,18,java,500-2000人,泛微,后端开发,美味三餐 一年两次加薪 每月拿绩效奖金,12,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
北京,java工程师,25,java,500-2000人,乐富支付,后端开发,精英的团队，免息贷款，期权激励,15,"专项奖金,绩效奖金,年度旅游,定期体检",2016-05-24
深圳,Java,18,java,150-500人,博悦科创,后端开发,平台好，职业发展大,10,"年底双薪,定期体检,绩效奖金,技能培训",2016-05-17
深圳,Java,11,java,150-500人,博悦科创,后端开发,美女多 福利好 加班少,8,"年底双薪,定期体检,绩效奖金,技能培训",2016-05-23
无锡,Java,14,java,15-50人,辉通科技,后端开发,五险一金，周末双休，免费午餐,7,,2016-05-25
南京,Java开发工程师,13,java,500-2000人,华通,后端开发,中兴子公司，六险一金，过节费,9,"节日礼物,免费班车,带薪年假,五险一金",2016-05-23
西安,Java开发工程师,10,java,500-2000人,易流,后端开发,老板nice，团队氛围好，技术大牛多~,6,"绩效奖金,年底双薪,五险一金,股票期权",2016-05-24
苏州,Java开发工程师,15,java,15-50人,Me Inc.,后端开发,弹性工作制，公司福利好，老板nice,10,"技能培训,日本妹纸,股票期权,带薪年假",2天前发布
重庆,JAVA工程师,14,java,2000人以上,猪八戒网,后端开发,萌妹子多 带薪年假 绩效奖金 扁平管理,7,"年底双薪,岗位晋升,定期体检,五险一金",2016-05-20
郑州,Java,14,java,150-500人,智游,后端开发,五险一金，提供住宿，双休，项目提成,7,"技能培训,年底双薪,带薪年假,绩效奖金",2天前发布
南京,Java,15,java,50-150人,南京炫德,后端开发,五险一金、员工福利、双休等,9,,2天前发布
无锡,Java,9,java,50-150人,帆软软件,后端开发,五险一金、带薪年假、年度旅游、健康体检,9,"技能培训,股票期权,带薪年假,年度旅游",2016-05-17
潍坊,Java,10,java,500-2000人,方付通,后端开发,福利完善 团队和谐,5,"技能培训,节日礼物,岗位晋升,五险一金",2天前发布
上海,Java,15,java,50-150人,娃哈哈赋礼,后端开发,股票期权，绩效奖，带薪年假，技能培训。,10,"年底双薪,股票期权,绩效奖金,元老待遇",1天前发布
上海,Java开发,15,java,500-2000人,泛微,后端开发,周末双休 包三餐 节日福利,10,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
上海,JAVA开发,15,java,500-2000人,泛微,后端开发,美味三餐 提供户外活动场地 （足球 篮球 ）,10,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
深圳,java,20,java,150-500人,博悦科创,前端开发,福利好 空间大 美女多,10,"年底双薪,定期体检,绩效奖金,技能培训",2016-05-24
深圳,Java,12,java,150-500人,博悦科创,后端开发,福利好 空间大 美女多,6,"年底双薪,定期体检,绩效奖金,技能培训",3天前发布
上海,Java,24,java,2000人以上,新致软件,后端开发,待遇丰厚，餐补、旅游、商业保险,12,"技能培训,专项奖金,免费班车,带薪年假",2016-05-19
南京,Java,12,java,150-500人,联创集团信通科技,后端开发,"餐补,通讯补贴 ,补充医疗保险,定期体检",8,"节日礼物,带薪年假,补充医保,补充子女医保",2天前发布
南昌,Java开发工程师（南昌）,8,java,150-500人,广州中软,后端开发,发展空间大，福利齐全，管理规范，年度奖金,5,"五险一金,管理规范,领导好,通讯津贴",3天前发布
佛山,Java开发工程师（HCM实施方向）,10,java,2000人以上,联塑集团,后端开发,上市公司 公寓楼住宿 购买社保 三餐补助,8,"技能培训,绩效奖金,岗位晋升,管理规范",3天前发布
聊城,Java,7,java,2000人以上,新凤祥集团,后端开发,平台好 团队氛围好 福利待遇佳,5,"技能培训,免费班车,带薪年假,岗位晋升",2016-04-20
厦门,Java工程师,14,java,50-150人,有大有小,后端开发,期权激励、有竞争力的薪酬、优秀的团队,7,,2天前发布
佛山,Java开发工程师,8,java,2000人以上,联塑集团,后端开发,发展空间大晋升快，免费提供2人酒店式公寓,5,"技能培训,绩效奖金,岗位晋升,管理规范",2016-04-13
惠州,java开发工程师,10,java,500-2000人,广东谷通科技有限公司,后端开发,高薪,5,,2天前发布
温州,Java,12,java,少于15人,麦田儿,后端开发,好玩儿，技术宅的团队，一起成长,6,"技能培训,专项奖金,股票期权,绩效奖金",15:30发布
长沙,Java,10,java,15-50人,小熊到,后端开发,“扁平化管理+弹性工时＋好项目＋双休”,8,"节日礼物,股票期权,岗位晋升,年度旅游",07:46发布
贵阳,Java,9,java,500-2000人,方欣科技,后端开发,五险一金/周末双休/节日福利,5,"专项奖金,五险一金,带薪年假,免费班车",3天前发布
上海,Java开发,20,java,500-2000人,泛微,后端开发,员工旅游、工作日美味三餐、舒心的工作氛围,15,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
上海,Java开发工程师,15,java,500-2000人,泛微,后端开发,程序猿健康工作 精美三餐 少加班,10,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
深圳,Java,12,java,150-500人,博悦科创,后端开发,发展空间大 福利好 加班少,6,"年底双薪,定期体检,绩效奖金,技能培训",3天前发布
深圳,Java,12,java,150-500人,博悦科创,后端开发,发展空间大 福利待遇好 人性化管理,6,"年底双薪,定期体检,绩效奖金,技能培训",2天前发布
珠海,Java,12,java,500-2000人,方付通,后端开发,福利完善 薪资有待 1年14薪,6,"技能培训,节日礼物,岗位晋升,五险一金",2天前发布
佛山,Java开发（佛山）,12,java,2000人以上,安硕信息（amarsoft）,后端开发,"五险一金,包住,年终奖,年度体检",6,"岗位晋升,顶尖团队,福利优厚,股票期权",2016-05-24
北京市,Java开发工程师(北京),15,java,150-500人,大易云计算,后端开发,发展空间大 薪资福利好,8,"绩效奖金,专项奖金,通讯津贴,五险一金",2天前发布
西安市,JAVA开发工程师（西安）,10,java,150-500人,大易云计算,后端开发,发展空间大 薪资福利好,7,"绩效奖金,专项奖金,通讯津贴,五险一金",2天前发布
宁波,JAVA工程师,8,java,15-50人,点上一杯,后端开发,五险一金 股票期权 扁平管理 智能硬件,4,"股票期权,领导好,扁平管理",1天前发布
温州,Java,12,java,150-500人,李山投资集团,后端开发,免费员工午餐，员工宿舍，交通补贴,6,"股票期权,岗位晋升,美女多,帅哥多",3天前发布
武汉,Java开发工程师,15,java,2000人以上,广东亿迅,后端开发,午餐补贴，高温补贴，项目奖金，过节费,9,"技能培训,节日礼物,年底双薪,带薪年假",2016-05-19
西安,Java开发工程师,9,java,500-2000人,易流,后端开发,团队年轻、氛围好~,6,"绩效奖金,年底双薪,五险一金,股票期权",2016-05-25
佛山,Java工程师,24,java,2000人以上,美的集团总部流程IT,后端开发,带薪大假、旅游补贴,12,"五险一金,带薪年假,免费班车,年度旅游",3天前发布
宁波,Java,15,java,50-150人,海大物联,后端开发,一流的技术团队，丰厚的薪资回报。,8,"节日礼物,年底双薪,带薪年假,年度旅游",2016-05-24
上海,Java,35,java,15-50人,善诊,后端开发,团队靠谱，项目靠谱，环境靠谱,20,"股票期权,带薪年假,岗位晋升,扁平管理",2016-05-20
